,emoji_id,afraid,angry,disgusted,happy,sad,surprised,general,unicode,emoji
107,108,26.0,4.0,7.0,3.0,13.0,21.0,11.0,1f628,😨
97,98,1.0,67.0,4.0,1.0,0.0,0.0,2.0,1f620,😠
84,85,0.0,54.0,4.0,13.0,0.0,0.0,5.0,1f624,😤
41,42,4.0,52.0,2.0,3.0,17.0,1.0,5.0,1f621,😡
85,86,1.0,37.0,3.0,16.0,0.0,0.0,14.0,1f608,😈
65,66,0.0,31.0,0.0,18.0,1.0,1.0,17.0,1f44a,👊
104,105,12.0,9.0,25.0,1.0,25.0,0.0,9.0,1f623,😣
108,109,10.0,4.0,25.0,7.0,15.0,3.0,6.0,1f616,😖
26,27,1.0,1.0,0.0,73.0,0.0,0.0,6.0,1f603,😃
11,12,0.0,1.0,0.0,69.0,1.0,0.0,13.0,263a,☺
3,4,0.0,1.0,2.0,66.0,0.0,0.0,6.0,1f60d,😍
5,6,0.0,0.0,2.0,65.0,2.0,0.0,15.0,1f618,😘
6,7,0.0,2.0,1.0,64.0,1.0,0.0,3.0,1f60a,😊
175,176,1.0,1.0,0.0,2.0,74.0,0.0,6.0,1f63f,😿
4,5,0.0,3.0,2.0,4.0,69.0,0.0,9.0,1f62d,😭
43,44,0.0,0.0,0.0,1.0,66.0,0.0,9.0,1f622,😢
83,84,2.0,3.0,1.0,2.0,51.0,0.0,14.0,1f494,💔
14,15,3.0,4.0,7.0,1.0,49.0,0.0,7.0,1f629,😩
180,181,7.0,1.0,4.0,2.0,3.0,44.0,4.0,1f632,😲
28,29,23.0,0.0,4.0,1.0,1.0,38.0,6.0,1f631,😱
36,37,16.0,1.0,3.0,9.0,6.0,29.0,12.0,1f633,😳
142,143,0.0,4.0,0.0,6.0,1.0,0.0,76.0,1f448,👈
170,171,1.0,0.0,0.0,1.0,0.0,0.0,72.0,ae,®
94,95,1.0,2.0,1.0,3.0,1.0,1.0,63.0,1f449,👉
62,63,0.0,1.0,2.0,5.0,0.0,8.0,61.0,fffd,�
167,168,0.0,6.0,1.0,11.0,0.0,2.0,58.0,1f446,👆
